request,indonesia_pct,global_median_pct,n_countries,RCA
Create religious educational content and provide spiritual guidance,0.5712701053799224,0.22160189764311045,28,2.5779116129228825
Create specific data visualizations and charts using programming code,0.160843039378813,0.201078512019011,27,0.7999016790198152
Create viral social media marketing video scripts and content,0.0998336106489184,0.1736775819737795,23,0.5748215141778661
Create work scheduling systems and attendance management applications,0.2551303383250138,0.1636795155086341,25,1.5587188019966718
"Create, modify, and improve business application dashboards and interfaces",0.1996672212978369,0.2005820274595114,35,0.9954392416246807
Debug and fix API integrations and third-party service connections,0.2606766500277315,0.3199804989122833,42,0.8146641777041267
Debug and fix JavaScript syntax and runtime errors,0.3993344425956739,0.3522898842476094,40,1.1335393391965776
Debug and fix PHP programming errors and bugs,0.5879090404880754,0.2507631923244657,23,2.3444790084159255
Debug and fix React Native mobile app development errors,0.1220188574597892,0.12617313114795006,15,0.9670748149755467
Debug and fix broken features in games and software applications,0.1109262340543538,0.2151668685606145,33,0.5155358480439327
Debug and fix broken functionality in web applications and websites,0.14420410427066,0.1870541151905342,28,0.7709218485985888
Debug and fix compilation errors and syntax bugs in programming code,0.21630615640599,0.287852619458837,40,0.7514475873544094
Debug and fix complex software system failures and technical issues,0.088740987243483,0.1905334937825912,22,0.4657500656800067
Debug and fix errors in existing Python code,0.2828618968386023,0.436109899694723,54,0.6486023294509151
Debug and fix errors in existing React applications,0.4991680532445923,0.4069381442955369,39,1.226643558098289
Debug and fix existing trading bot code and functionality,0.3383250138657793,0.3008423586040915,36,1.1245923460898504
Debug and fix file upload functionality issues,0.1996672212978369,0.0994312532315157,16,2.0080931780366056
Debug and fix machine learning model training and inference errors,0.0942872989462007,0.2159421650549244,26,0.43663218307651475
Debug and fix messaging platform bots and chatbots,0.2662229617304492,0.20720514541572999,27,1.2848279476665876
Debug and fix payment processing and financial system technical issues,0.088740987243483,0.142769161861038,22,0.6215697149630784
Debug and fix software bugs in existing applications,0.4437049362174154,0.3280133163615,41,1.3527040339070042
Debug and fix web development errors and technical issues,0.2440377149195784,0.2635680884228426,38,0.9259000828964864
Debug and troubleshoot failing software applications and system errors,0.1220188574597892,0.2321981424148606,30,0.5254945461268257
Debug data processing and business application errors,0.14420410427066,0.2450980392156862,34,0.5883527454242929
Design and implement enterprise ERP and CRM business management systems,0.2107598447032723,0.21332465464870004,31,0.9879769642676726
Design and improve authentication UI components and login pages,0.2273987798114254,0.2159421650549244,11,1.053054088596301
Design enterprise software architecture and create technical documentation,0.160843039378813,0.1657029475701863,23,0.9706709611226753
Develop academic management systems and educational databases,0.2828618968386023,0.1367299942429476,22,2.0687625886680094
Develop and debug computer vision AI systems and implementation code,0.1331114808652246,0.1989356109339316,23,0.6691184159553624
Develop and deploy healthcare AI systems and medical data analysis tools,0.1275651691625069,0.15198421278532032,18,0.8393317096868105
Develop and modify React Native mobile applications and components,0.1109262340543538,0.1853467073702573,19,0.598479658086196
Develop automated trading systems and technical analysis strategies,0.5490848585690515,0.39075269960588,50,1.4051978633106519
Develop comprehensive social media marketing strategies and content,0.1996672212978369,0.2815051140095712,32,0.7092845257903493
Develop inventory management and supply chain systems,0.2273987798114254,0.1599110060488076,24,1.422033326099014
Develop speech processing and voice interface applications,0.1053799223516361,0.2076196408180213,27,0.5075623960066554
Diagnose and treat skin conditions and dermatological problems,0.1164725457570715,0.209866832149378,26,0.5549831031621482
Diagnose car problems and provide automotive technical support,0.0942872989462007,0.22014988962280518,26,0.4282868327017937
Draft and edit formal legal documents and court filings,0.1109262340543538,0.13825360497988584,17,0.8023388183656561
Draft and refine job application and career-related professional emails,0.1109262340543538,0.2969121140142517,34,0.3735995562950637
Draft and revise formal government and institutional correspondence,0.3383250138657793,0.2422671518405911,31,1.3964956094765713
Draft new emails and messages from scratch for various purposes,0.1331114808652246,0.47761883830923074,47,0.2786981379051941
"Draft polite decline, withdrawal, termination, and farewell messages",0.1053799223516361,0.15552325548035573,17,0.6775830535835634
"Draft, review, analyze, and modify legal contracts and agreements",0.088740987243483,0.2278741821588866,32,0.38942975638024596
Edit and improve existing written texts for better quality and flow,0.3105934553521908,0.2772889670985975,36,1.1201075131191605
"Edit and modify existing podcast, video, and audio scripts",0.21630615640599,0.13708479072092125,19,1.5779004750887973
Edit and revise existing business and professional documents,0.2052135330005546,0.3003003003003003,38,0.6833610648918468
Enhance React component visual design and aesthetics,0.2939545202440377,0.2599404847705473,23,1.1308531662680978
Evaluate and grade academic assignments using rubrics and scoring criteria,0.2384914032168607,0.18061943070267822,23,1.3204083430505704
Explain AI system capabilities and provide technical guidance,0.1830282861896838,0.344418052256532,46,0.5314131619714269
Explain Python programming concepts and provide educational guidance,0.1109262340543538,0.1898019039965087,26,0.5844316190652873
"Explain accounting and finance concepts, standards, and calculations",0.2939545202440377,0.1868576767362192,26,1.5731466075060088
"Explain esoteric and occult spiritual practices, symbols, and traditions",0.088740987243483,0.1014598951581083,16,0.8746410303814626
Explain neural network architectures and implement deep learning concepts,0.0831946755407653,0.2346577576263771,24,0.354536224935841
Explain philosophical concepts and engage in philosophical discussions,0.2273987798114254,0.226422524118921,30,1.0043116544888955
Explain professional concepts and help create business deliverables,0.3161397670549085,0.31442129680737096,45,1.005465502066771
"Explain programming concepts, syntax, and code functionality",0.1830282861896838,0.2408068445804294,30,0.7600626406968778
Explain technology innovation concepts and societal impacts,0.1885745978924015,0.09919229134193,16,1.9011013390381104
Explain the differences between two or more specific concepts or terms,0.14420410427066,0.19304200549976946,25,0.7470089419001203
"Explain the meaning of specific terms, acronyms, and concepts",0.3161397670549085,0.4419677925830587,49,0.7153004638805136
Extract and convert image data into structured formats,0.1663893510815307,0.1037667323855971,14,1.6034941763727124
Extract and organize document data into structured tables,0.343871325568497,0.19212000104209437,27,1.78987780399373
Extract and transcribe text from images using OCR technology,0.160843039378813,0.23057139507771124,41,0.6975845348231633
Find and analyze existing academic papers and research publications,0.3383250138657793,0.1239193083573487,16,2.730204181661056
Find information about specific named individuals,0.088740987243483,0.17015294495966193,24,0.5215365932368716
"Fix Flutter/Dart app bugs, compilation errors, and technical issues",0.3494176372712146,0.25183993122129533,26,1.3874592308563505
Fix HTML CSS JavaScript layout styling and responsiveness issues,0.2218524681087077,0.21787137748666385,31,1.0182726646701792
Fix React API integration and backend connectivity issues,0.1497504159733777,0.2314049586776859,17,0.6471357261706681
Fix TypeScript compilation errors and type-related issues,0.2551303383250138,0.24408163539785835,33,1.0452664245269654
Fix and implement dropdown menus and form input components,0.1386577925679423,0.1146739437545677,12,1.2091481990425508
Fix and improve existing websites and web applications,0.2273987798114254,0.2273987798114254,33,1.0
Fix and improve video game development code and features,0.14420410427066,0.2920522412548402,38,0.4937613341060778
Fix and style HTML/CSS table layouts and web components,0.2495840266222961,0.1181334908446544,18,2.1127287853577377
Fix bugs and modify styling in existing chart and visualization code,0.1109262340543538,0.16199767243966715,21,0.6847396779460896
Fix document formatting and text rendering issues,0.1220188574597892,0.1589434459934432,22,0.7676872531430001
Fix mobile and web application UI layout and display issues,0.21630615640599,0.1689982161299408,20,1.279931595489
Fix styling and layout issues in React components,0.2662229617304492,0.27250775081331147,27,0.976937209807409
Fix web application UI bugs and functionality issues,0.3660565723793677,0.2627381064089331,34,1.3932374613739005
"Fix, modify, and complete existing Python code files and scripts",0.1109262340543538,0.1901724750365241,25,0.5832927926770136
Format and create educational documents and study materials,0.2273987798114254,0.1783870059149375,22,1.2747496861955225
Generate and modify complete JavaScript code implementations,0.232945091514143,0.21067363994534494,27,1.1057154163880016
"Generate creative names for businesses, products, services, and projects",0.1996672212978369,0.2180549498473615,25,0.9156738768718801
Get comprehensive programming assistance and collaborative coding support,0.1774819744869661,0.18847725452218533,25,0.941662562609511
"Get mobile device information, recommendations, and technical support",0.2107598447032723,0.1972386587771203,28,1.0685524126455908
Help analyze and manage existing YouTube and TikTok video content,0.232945091514143,0.2079002079002079,29,1.1204658901830278
Help build and troubleshoot video streaming and camera system applications,0.0998336106489184,0.093339322008933,13,1.0695771996218686
Help compose personal heartfelt messages for relationships and life events,0.1386577925679423,0.2093868372946607,26,0.6622087346054872
Help create and fix website navigation menus and mobile navbars,0.1941209095951192,0.1034085033607763,15,1.8772238576731097
Help create and format professional documents in specific file formats,0.3882418191902385,0.2085564511583338,32,1.8615670579064922
Help create and improve professional presentations and slide decks,0.3716028840820854,0.2582644628099174,29,1.4388463671658345
Help create and manage invoice and billing systems,0.1275651691625069,0.1502206365599474,21,0.8491853854686632
Help create and plan video content and AI generation prompts,0.2773155851358846,0.2803935099687273,33,0.9890228385343656
Help create and refine social media post content and writing,0.1164725457570715,0.3346286701208981,43,0.34806505286887435
"Help create birthday messages, cards, and celebration content",0.160843039378813,0.1582788849961645,21,1.0162002302626194
Help create grammar exercises and explain grammatical concepts,0.4825291181364393,0.2209756926738059,26,2.1836298476897475
"Help create, improve, and customize resumes and CVs",0.2551303383250138,0.4209844559585492,53,0.6060326805751097
Help customize and modify Flutter UI components and layouts,0.2606766500277315,0.3095975232198142,17,0.8419855795895728
"Help debug, optimize, and implement machine learning models and workflows",0.1552967276760954,0.3073140749846342,36,0.5053355518580146
Help design and implement mobile app UI layouts and responsive interfaces,0.2551303383250138,0.1407992169987579,22,1.81201532056293
Help design and troubleshoot smart home automation systems and IoT devices,0.088740987243483,0.0930187016547537,14,0.9540123186502024
Help determine and calculate physical dimensions and measurements,0.0831946755407653,0.08488508323978305,11,0.9800859275328423
Help develop and customize e-commerce website interfaces and functionality,0.1331114808652246,0.0985267899033499,14,1.3510181443625702
Help develop and debug time series forecasting and prediction models,0.1164725457570715,0.0799872020476723,12,1.4561397670549092
Help develop and deploy full-stack Node.js web applications,0.1719356627842485,0.1521898427371625,18,1.1297446642427231
Help develop and integrate messaging applications and chat systems,0.2384914032168607,0.1909331244492313,30,1.2490834364378456
Help develop and modify business application forms and interfaces,0.2773155851358846,0.18900381106832095,25,1.4672486420691315
Help develop and troubleshoot email system functionality and integrations,0.1331114808652246,0.24790915345411665,34,0.5369365310259149
Help develop comprehensive software testing scripts and frameworks,0.14420410427066,0.21454945352548643,29,0.672125246189592
Help develop digital design tools and interactive creative applications,0.1830282861896838,0.164518782561009,24,1.1125069328896284
Help develop image processing and management software applications,0.2107598447032723,0.1876700760063808,26,1.1230338325013864
Help develop restaurant business operations and food service applications,0.1552967276760954,0.146238917832008,23,1.0619384359401003
Help draft and analyze personal text messages for relationships,0.0998336106489184,0.2007245667286791,24,0.49736617832068475
Help edit and revise existing novel manuscripts for publication,0.2606766500277315,0.36892681501633295,35,0.7065809245017631
Help estimate costs and pricing for specific goods and services,0.1109262340543538,0.1701001701001701,23,0.6521230048684289
Help format and manage academic citations and bibliographies,0.4880754298391569,0.2433428352916637,33,2.005711116393313
Help implement UI layout modifications and component positioning,0.1164725457570715,0.12480468370317291,21,0.9332385796840925
Help implement and design authentication systems for web applications,0.160843039378813,0.21168651059204416,31,0.7598171415314453
Help implement and execute data deletion and removal operations,0.088740987243483,0.1227596366314755,20,0.722884082085413
Help implement and fix data validation systems and logic,0.088740987243483,0.0912880126233367,14,0.9720990159971717
Help implement cryptographic algorithms and encryption solutions,0.1275651691625069,0.1140315867495296,16,1.1186827509706045
Help implement multilingual features and communicate in specific languages,0.1885745978924015,0.3305832866415007,29,0.5704299204239572
Help implement search and filtering functionality in software applications,0.0831946755407653,0.0883364748769821,15,0.9417930210213019
Help improve and edit academic essays and personal statements,0.3771491957848031,0.26273408543634347,34,1.4354787471082837
Help me access previous conversations and understand AI memory limitations,0.1386577925679423,0.22968355582635214,27,0.6036905518511385
Help me build and deploy complete web applications from scratch,0.2384914032168607,0.2289576973397296,32,1.0416395953833555
Help me understand and use AI image generation capabilities,0.1552967276760954,0.15955587384268105,27,0.9733062402278898
Help modify and troubleshoot CSS styling code for existing websites,0.21630615640599,0.23066315788012665,37,0.9377577173308368
Help modify colors and visual themes in web and mobile applications,0.2939545202440377,0.2127833701612243,30,1.381473185716114
Help modify database schemas and SQL scripts for table structure changes,0.1164725457570715,0.172836741337945,28,0.673887651754175
Help navigate elderly care services and disability benefits systems,0.1220188574597892,0.1565654588339963,18,0.7793472351341794
Help organize and configure software project files and structures,0.0942872989462007,0.17006553446221545,24,0.5544174441009334
Help prepare comprehensive job interview materials and practice sessions,0.1164725457570715,0.2741603838245374,37,0.4248336106489182
Help research product prices and implement pricing systems,0.1885745978924015,0.20996778625810886,30,0.8981120449619392
Help resolve authentication and login access issues,0.1386577925679423,0.2034521231213493,32,0.6815254146315282
Help revise and edit academic papers for publication submission,0.4603438713255685,0.23801733059609548,30,1.9340771118333016
Help solve statistics problems and explain statistical concepts,0.232945091514143,0.1811416821697836,25,1.2859828214237528
Help translate and improve professional business documents and emails,0.232945091514143,0.32872047736471127,29,0.7086418630856797
Help troubleshoot and fix mobile app bugs and device issues,0.2107598447032723,0.2569130849474385,37,0.8203546531948398
Help troubleshoot compilation errors and development environment issues,0.1497504159733777,0.25697849128453176,34,0.5827352134602232
Help troubleshoot git operations and GitHub repository management,0.1885745978924015,0.3035832921495085,38,0.6211626356549701
Help troubleshoot hardware failures and system-level device malfunctions,0.1164725457570715,0.1388180633463652,18,0.8390301877822675
Help troubleshoot software installation and package management errors,0.1164725457570715,0.2130286604840101,27,0.5467458955637282
Help troubleshoot web application errors and API connectivity issues,0.1830282861896838,0.1751781604081874,29,1.0448122400829225
Help with 3D modeling programming and interactive graphics development,0.0942872989462007,0.14040862815915114,19,0.6715206905898078
"Help with API development, implementation, integration, and usage",0.160843039378813,0.2480729198394956,41,0.6483700013805588
"Help with Android app development, debugging, and programming tasks",0.2662229617304492,0.22656534312204324,25,1.1750383269653193
Help with Docker development workflows and containerization setups,0.0942872989462007,0.2033190460490163,30,0.4637406124926922
Help with Excel and Google Sheets formulas and VBA code,0.1774819744869661,0.18543747409921585,27,0.9570987490479229
Help with Excel spreadsheet operations and programming tasks,0.2662229617304492,0.3172466833301288,43,0.8391670448242826
Help with GIS software and geospatial data analysis tasks,0.1719356627842485,0.2086931491076569,29,0.823868265534454
"Help with JSON data processing, formatting, and conversion tasks",0.1220188574597892,0.2297682119924384,31,0.5310519518853408
"Help with PDF file processing, coding, and document operations",0.3050471436494731,0.37227323060407436,45,0.8194173487964314
Help with Python GUI development and framework conversion projects,0.088740987243483,0.08587718657598035,12,1.0333476302809348
Help with Python data analysis and processing tasks,0.1109262340543538,0.19903632296720236,25,0.557316536000479
"Help with URL routing, redirects, and web development configuration",0.088740987243483,0.08843198387925641,15,1.003494248920713
"Help with Vue.js component development, debugging, and enhancement tasks",0.3826955074875208,0.19734982665641185,26,1.9391732639005443
Help with academic research writing and methodology development,0.704381586245147,0.16834737402999606,23,4.184096071018255
Help with academic writing and research on AI-related topics,0.1719356627842485,0.22917310677449484,27,0.7502436267682677
Help with audio equipment setup and technical troubleshooting,0.0998336106489184,0.2455228191796649,36,0.4066164236077124
Help with biology and life sciences education and learning,0.3716028840820854,0.12085527085815445,19,3.0747759815807183
"Help with calendar management, event scheduling, and meeting organization",0.088740987243483,0.1813043246413907,25,0.4894587452285402
"Help with camera functionality, photography equipment, and photo capture",0.0998336106489184,0.1442030378773312,20,0.6923128119800331
Help with chemistry education problems and coursework,0.5102606766500277,0.1464532219708833,18,3.4841205251972793
Help with college and graduate school applications and enrollment,0.2995008319467554,0.2439961575408261,28,1.2274817561282378
Help with comprehensive Java programming development and learning tasks,0.14420410427066,0.26059116968207874,31,0.5533729498454956
"Help with criminal law procedures, documents, and case analysis",0.232945091514143,0.1759718445048792,23,1.3237634245953709
Help with cultural studies research and cross-cultural analysis projects,0.3050471436494731,0.12942751487352339,15,2.3568956256910694
Help with currency conversion and foreign exchange tasks,0.0998336106489184,0.1051328468606336,14,0.9495948566984019
"Help with cybersecurity education, training, and career development",0.160843039378813,0.2013152596966849,34,0.7989609909410242
"Help with database design, architecture, implementation, and management",0.28840820854132,0.30842043497134897,40,0.9351138116646258
Help with database migration tasks and resolving migration errors,0.1830282861896838,0.1983423432390455,28,0.922789774491547
"Help with date calculations, formatting, and datetime programming tasks",0.1830282861896838,0.1667552923566334,23,1.0975860712009546
"Help with dating app profiles, messaging, and courtship strategies",0.1109262340543538,0.1736587149255095,20,0.6387599614677291
Help with digital advertising campaign management and optimization,0.1053799223516361,0.14216323703896475,23,0.7412600088921237
Help with electrical engineering coursework and circuit analysis problems,0.1830282861896838,0.1015981416114195,14,1.8014924612470635
Help with embedded systems programming and industrial automation projects,0.1109262340543538,0.15538952874761175,21,0.7138591316183438
Help with environmental and geoscience data analysis and modeling,0.0998336106489184,0.07085296652740385,8,1.4090251339060826
Help with ethics-related academic assignments and professional projects,0.1331114808652246,0.1051377666112691,13,1.266067229270563
Help with film and television screenplay writing and production tasks,0.1164725457570715,0.1473171284492039,18,0.7906246000255982
Help with fluid mechanics and computational fluid dynamics problems,0.088740987243483,0.0797597823027118,12,1.1126031777103516
Help with general PHP programming tasks and troubleshooting,0.6988352745424293,0.3591577454755617,29,1.9457613913270888
Help with industrial engineering systems and technical documentation,0.1164725457570715,0.1028431781245657,17,1.1325257336563213
"Help with internship applications, reports, and documentation",0.4104270660011093,0.09889617799878404,11,4.150080157861668
"Help with linear algebra, matrix operations, and computational mathematics",0.1552967276760954,0.08939764254064306,11,1.737145670317788
Help with mathematical logic and theoretical computer science concepts,0.1497504159733777,0.11857507175949969,15,1.2629165114663352
Help with medical education applications and exam preparation,0.1053799223516361,0.17617365217265774,17,0.5981593788403685
"Help with microbiology research, education, and laboratory analysis",0.160843039378813,0.0673469941274965,8,2.388273470294999
Help with mobile game development and mobile gaming assistance,0.0998336106489184,0.0835222527144732,13,1.1952935583551219
"Help with music discovery, creation, production, and industry tasks",0.14420410427066,0.28527664512419226,35,0.5054886431655918
"Help with news article writing, editing, and journalism tasks",0.1941209095951192,0.2001752179899448,25,0.9697549554054702
Help with numerical computations and programming number formatting tasks,0.232945091514143,0.1658900936656941,24,1.4042133943427617
Help with organizational management and leadership development tasks,0.4270660011092623,0.362367467454033,40,1.1785439904685606
Help with payment processing systems and credit card services,0.2662229617304492,0.2086931491076569,29,1.2756669917952832
Help with personal color analysis and aesthetic color coordination,0.0998336106489184,0.0988273751829256,14,1.0101817483681044
"Help with personal name suggestions, etymology, and name processing tasks",0.1220188574597892,0.1082890332742665,16,1.126788685524127
Help with physics problem solving and educational content creation,0.3937881308929561,0.14455312275420729,19,2.7241758835091976
"Help with poetry creation, analysis, and improvement tasks",0.3050471436494731,0.1634301095943088,22,1.8665296401422466
"Help with printer setup, troubleshooting, and print software development",0.1053799223516361,0.0894899639551512,11,1.1775613453643619
Help with social justice and inequality academic research and writing,0.5268996117581808,0.1921651414099475,22,2.7419104624919535
Help with social media platform operations and data analysis,0.1996672212978369,0.2154117301478507,32,0.9269096959612768
Help with software development workflow and project maintenance tasks,0.0942872989462007,0.146238917832008,20,0.644748336106489
"Help with time calculations, duration tracking, and timer programming",0.1109262340543538,0.142539483436912,20,0.7782140876317246
"Help with traditional card, board, gambling and puzzle games",0.088740987243483,0.2036503362151777,29,0.43575173453049915
Help with video processing programming and technical development tasks,0.088740987243483,0.1295336787564767,20,0.6850804215196887
"Help with visual art education, analysis, and creative projects",0.1497504159733777,0.15034938269299586,19,0.9960161677494799
"Help with vocabulary games, word puzzles, and educational word activities",0.232945091514143,0.23729009472850776,30,0.9816890662067624
Help with workflow automation platform setup and configuration,0.1386577925679423,0.2016269206702357,27,0.6876948381050739
Help with workplace safety and risk management documentation,0.2440377149195784,0.1497109247313104,21,1.6300594987143286
Help write and improve cover letters for job applications,0.14420410427066,0.3675759334494099,32,0.39231106051317977
Help write and modify specific SQL queries for data retrieval and analysis,0.0998336106489184,0.1756198347107438,26,0.5684643241656059
Help write and revise academic thesis and research paper sections,0.6988352745424293,0.19006762839514305,31,3.676771686178872
"Help write, debug, optimize, and explain SQL queries",0.1275651691625069,0.22748537453607393,29,0.5607620684303729
"Help write, edit, and format medical documents and academic content",0.2495840266222961,0.22827365552785317,29,1.09335449176194
"Identify objects, people, plants, or items shown in provided images",0.0831946755407653,0.2086931491076569,27,0.3986459349360257
Implement OAuth authentication and API token management systems,0.1497504159733777,0.19189098002593846,27,0.780393200103181
Implement and fix scrolling functionality in web and mobile applications,0.1164725457570715,0.06717427914449356,9,1.7338860534183944
"Implement and optimize carousels, sliders, and card animations",0.088740987243483,0.07664796153706716,8,1.1577736115078237
Implement specific web application frontend features and UI modifications,0.1220188574597892,0.0999884974619444,18,1.22032894339901
Improve and beautify existing UI code styling and visual design,0.1885745978924015,0.1566630764711642,22,1.2036952301719352
Improve and refine scientific manuscript writing and formatting,0.2273987798114254,0.1411038918422261,16,1.611569864179856
Improve and reformat existing legal document writing and structure,0.1164725457570715,0.11841259675766105,19,0.9836161772166859
Interpret personal medical test results and explain health conditions,0.1774819744869661,0.23270077925701194,35,0.762704684761463
"Modify AI communication style to be more direct, critical, or human-like",0.1663893510815307,0.2219020172910662,26,0.7498325301985866
Modify and fix existing HTML files and code structures,0.3105934553521908,0.26748776796469464,33,1.161150125538397
Modify existing React components for enhanced functionality and structure,0.1331114808652246,0.1816268645063475,16,0.7328843187763813
Modify existing React components to change behavior and functionality,0.1275651691625069,0.1275651691625069,14,1.0
Optimize job applications and recruitment processes using ATS matching,0.1830282861896838,0.3518036640569569,44,0.5202569071595899
Process meeting transcripts into summaries and structured documentation,0.0831946755407653,0.20652550193270144,26,0.4028300367858454
Provide AI business consulting and strategic development assistance,0.1164725457570715,0.3280133163615,40,0.35508480890058847
Provide AI education guidance and create comprehensive learning materials,0.0998336106489184,0.1247655123907329,17,0.8001699246524607
"Provide JavaScript programming education, explanations, and code analysis",0.1830282861896838,0.22477417988253895,29,0.8142762940357721
Provide K-12 teaching and school administration support materials,0.6600110926234054,0.24435674032913204,30,2.701014474716003
Provide Laravel framework development assistance and troubleshooting,0.7986688851913478,0.21254071186776435,14,3.757721888539889
Provide TypeScript development assistance and code guidance,0.0998336106489184,0.1882314428349292,24,0.5303769080517974
