occ_code,title,JobFamily,major_group_title,observed_exposure,salary_pct,forecast_risk,auto_prob,job_zone_norm,urgency_score,retraining_label
11-9141,"Property, Real Estate, and Community Association Managers",Management,Management Occupations,0.1653,0.6502976190476191,0.1607142857142857,0.81,0.8,0.2982985714285714,Low
11-9151,Social and Community Service Managers,Management,Management Occupations,0.1808,0.7395833333333334,0.23958333333333337,0.006999999999999999,0.8,0.16361583333333335,Low
11-9161,Emergency Management Directors,Management,Management Occupations,0.0,0.8125,0.8794642857142857,0.003,0.8,0.2504660714285714,Low
11-9199,"Managers, All Other",Management,Management Occupations,0.0686,0.9523809523809523,0.05654761904761907,-0.01,0.8,0.06957690476190476,Low
13-1011,"Agents and Business Managers of Artists, Performers, and Athletes",Business and Financial Operations,Business and Financial Operations Occupations,0.118,0.7425595238095238,0.671875,0.24,0.8,0.29316875,Low
13-1031,"Claims Adjusters, Examiners, and Investigators",Business and Financial Operations,Business and Financial Operations Occupations,0.0818,0.7410714285714286,0.1875,-0.01,0.8,0.107595,Low
13-1032,"Insurance Appraisers, Auto Damage",Business and Financial Operations,Business and Financial Operations Occupations,0.0,0.7038690476190477,0.7864583333333334,0.98,0.6,0.4526145833333333,Medium
13-1041,Compliance Officers,Business and Financial Operations,Business and Financial Operations Occupations,0.1211,0.7589285714285714,0.16443452380952384,-0.01,0.8,0.11754863095238097,Low
13-1051,Cost Estimators,Business and Financial Operations,Business and Financial Operations Occupations,0.0,0.7232142857142857,0.1941964285714286,0.57,0.8,0.19254910714285714,Low
13-1071,Human Resources Specialists,Business and Financial Operations,Business and Financial Operations Occupations,0.4034,0.6830357142857143,0.07440476190476186,-0.01,0.8,0.20796119047619047,Low
13-1074,Farm Labor Contractors,Business and Financial Operations,Business and Financial Operations Occupations,0.0,0.46279761904761907,0.9836309523809523,0.97,0.4,0.5299077380952381,Medium
13-1075,Labor Relations Specialists,Business and Financial Operations,Business and Financial Operations Occupations,0.0,0.7514880952380952,0.45238095238095233,-0.01,0.8,0.14109523809523808,Low
13-1081,Logisticians,Business and Financial Operations,Business and Financial Operations Occupations,0.1571,0.8169642857142857,0.23809523809523814,0.012,0.8,0.15476380952380953,Low
13-1111,Management Analysts,Business and Financial Operations,Business and Financial Operations Occupations,0.2435,0.8675595238095238,0.04761904761904767,0.13,1.0,0.13530476190476193,Low
13-1121,"Meeting, Convention, and Event Planners",Business and Financial Operations,Business and Financial Operations Occupations,0.1023,0.5178571428571429,0.25,0.04,0.8,0.14142000000000002,Low
13-1131,Fundraisers,Business and Financial Operations,Business and Financial Operations Occupations,0.0466,0.6324404761904762,0.34226190476190477,-0.01,0.8,0.13220547619047618,Low
13-1141,"Compensation, Benefits, and Job Analysis Specialists",Business and Financial Operations,Business and Financial Operations Occupations,0.0649,0.7127976190476191,0.3861607142857143,0.47,0.8,0.24650017857142856,Low
13-1151,Training and Development Specialists,Business and Financial Operations,Business and Financial Operations Occupations,0.2793,0.6815476190476191,0.14806547619047616,0.013999999999999999,0.8,0.18153636904761905,Low
13-1161,Market Research Analysts and Marketing Specialists,Business and Financial Operations,Business and Financial Operations Occupations,0.6483,0.7157738095238095,0.0580357142857143,0.61,0.8,0.42582892857142857,Medium
13-1199,"Business Operations Specialists, All Other",Business and Financial Operations,Business and Financial Operations Occupations,0.1846,0.7738095238095238,0.04166666666666663,-0.01,0.8,0.11225666666666664,Low
13-2011,Accountants and Auditors,Business and Financial Operations,Business and Financial Operations Occupations,0.3478,0.7723214285714286,0.03720238095238093,0.94,0.6,0.3964205952380952,Medium
13-2031,Budget Analysts,Business and Financial Operations,Business and Financial Operations Occupations,0.0672,0.8229166666666666,0.5327380952380952,0.94,0.8,0.37806452380952377,Medium
13-2041,Credit Analysts,Business and Financial Operations,Business and Financial Operations Occupations,0.1685,0.7857142857142857,0.44047619047619047,0.98,0.8,0.4035190476190476,Medium
13-2051,Financial and Investment Analysts,Business and Financial Operations,Business and Financial Operations Occupations,0.5716,0.8764880952380952,0.16220238095238093,0.23,0.8,0.3451905952380952,Medium
13-2052,Personal Financial Advisors,Business and Financial Operations,Business and Financial Operations Occupations,0.3504,0.8928571428571429,0.19940476190476186,0.58,0.8,0.33601119047619044,Medium
13-2053,Insurance Underwriters,Business and Financial Operations,Business and Financial Operations Occupations,0.0625,0.7648809523809523,0.4017857142857143,0.99,0.8,0.35344642857142855,Medium
13-2061,Financial Examiners,Business and Financial Operations,Business and Financial Operations Occupations,0.0428,0.8467261904761905,0.5200892857142857,0.17,0.8,0.21114232142857142,Low
13-2071,Credit Counselors,Business and Financial Operations,Business and Financial Operations Occupations,0.2341,0.4523809523809524,0.5900297619047619,0.04,0.8,0.27914744047619044,Low
13-2072,Loan Officers,Business and Financial Operations,Business and Financial Operations Occupations,0.1857,0.7142857142857143,0.17113095238095233,0.98,0.6,0.3730627380952381,Medium
13-2081,"Tax Examiners and Collectors, and Revenue Agents",Business and Financial Operations,Business and Financial Operations Occupations,0.0275,0.5922619047619048,0.5461309523809523,0.93,0.6,0.3935327380952381,Medium
13-2082,Tax Preparers,Business and Financial Operations,Business and Financial Operations Occupations,0.1283,0.3482142857142857,0.35565476190476186,0.99,0.6,0.39823369047619045,Medium
13-2099,"Financial Specialists, All Other",Business and Financial Operations,Business and Financial Operations Occupations,0.2202,0.7693452380952381,0.30431547619047616,-0.01,0.8,0.19215886904761906,Low
15-2011,Actuaries,Computer and Mathematical,Computer and Mathematical Occupations,0.0539,0.9404761904761905,0.7135416666666667,0.21,0.8,0.27194541666666666,Low
15-2021,Mathematicians,Computer and Mathematical,Computer and Mathematical Occupations,0.4241,0.9375,0.9672619047619048,0.05,1.0,0.4214554761904762,Medium
15-2031,Operations Research Analysts,Computer and Mathematical,Computer and Mathematical Occupations,0.4288,0.8660714285714286,0.3504464285714286,0.04,1.0,0.26713160714285716,Low
15-2041,Statisticians,Computer and Mathematical,Computer and Mathematical Occupations,0.2107,0.8883928571428571,0.5126488095238095,0.22,1.0,0.2564422023809524,Low
15-2099,"Mathematical Science Occupations, All Other",Computer and Mathematical,Computer and Mathematical Occupations,0.4793,0.6354166666666666,0.9836309523809523,-0.01,0.6,0.4956277380952381,Medium
17-1011,"Architects, Except Landscape and Naval",Architecture and Engineering,Architecture and Engineering Occupations,0.0784,0.8363095238095238,0.32514880952380953,0.018000000000000002,0.8,0.14624720238095237,Low
17-1012,Landscape Architects,Architecture and Engineering,Architecture and Engineering Occupations,0.0,0.7559523809523809,0.7477678571428572,0.05,0.8,0.2269419642857143,Low
17-1021,Cartographers and Photogrammetrists,Architecture and Engineering,Architecture and Engineering Occupations,0.08,0.7306547619047619,0.8504464285714286,0.88,0.8,0.45061160714285714,Medium
17-1022,Surveyors,Architecture and Engineering,Architecture and Engineering Occupations,0.0022,0.7053571428571429,0.5818452380952381,0.38,0.8,0.2523413095238095,Low
17-2011,Aerospace Engineers,Architecture and Engineering,Architecture and Engineering Occupations,0.0753,0.9642857142857143,0.5520833333333333,0.017,0.8,0.2015408333333333,Low
17-2021,Agricultural Engineers,Architecture and Engineering,Architecture and Engineering Occupations,0.0,0.8303571428571429,0.9836309523809523,0.49,0.8,0.3739077380952381,Medium
17-2031,Bioengineers and Biomedical Engineers,Architecture and Engineering,Architecture and Engineering Occupations,0.1328,0.8913690476190477,0.8013392857142857,0.04,0.8,0.29145482142857143,Low
17-2041,Chemical Engineers,Architecture and Engineering,Architecture and Engineering Occupations,0.0,0.9464285714285714,0.6934523809523809,0.017,0.8,0.20676309523809525,Low
17-2051,Civil Engineers,Architecture and Engineering,Architecture and Engineering Occupations,0.0081,0.8794642857142857,0.17708333333333337,0.019,0.8,0.08131083333333333,Low
17-2061,Computer Hardware Engineers,Architecture and Engineering,Architecture and Engineering Occupations,0.1453,0.9627976190476191,0.5200892857142857,0.22,0.8,0.2621423214285714,Low
17-2071,Electrical Engineers,Architecture and Engineering,Architecture and Engineering Occupations,0.059,0.9196428571428571,0.29836309523809523,0.1,0.8,0.1481907738095238,Low
17-2072,"Electronics Engineers, Except Computer",Architecture and Engineering,Architecture and Engineering Occupations,0.0999,0.9389880952380952,0.39360119047619047,-0.01,0.8,0.1663602976190476,Low
17-2081,Environmental Engineers,Architecture and Engineering,Architecture and Engineering Occupations,0.0358,0.8869047619047619,0.5461309523809523,-0.01,0.8,0.17885273809523808,Low
17-2111,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",Architecture and Engineering,Architecture and Engineering Occupations,0.0,0.8958333333333334,0.7380952380952381,-0.01,0.8,0.21252380952380953,Low
17-2112,Industrial Engineers,Architecture and Engineering,Architecture and Engineering Occupations,0.0367,0.8839285714285714,0.2053571428571429,-0.01,1.0,0.06401928571428572,Low
17-2121,Marine Engineers and Naval Architects,Architecture and Engineering,Architecture and Engineering Occupations,0.0358,0.9047619047619048,0.8958333333333334,-0.01,0.8,0.26627833333333334,Low
17-2131,Materials Engineers,Architecture and Engineering,Architecture and Engineering Occupations,0.0,0.9032738095238095,0.7730654761904762,0.02,0.8,0.22726636904761904,Low
17-2141,Mechanical Engineers,Architecture and Engineering,Architecture and Engineering Occupations,0.0813,0.8854166666666666,0.203125,-0.01,1.0,0.08130124999999999,Low
17-2151,"Mining and Geological Engineers, Including Mining Safety Engineers",Architecture and Engineering,Architecture and Engineering Occupations,0.0,0.9017857142857143,0.9389880952380952,0.14,0.8,0.2927470238095238,Low
17-2161,Nuclear Engineers,Architecture and Engineering,Architecture and Engineering Occupations,0.0,0.9538690476190477,0.8504464285714286,0.07,0.8,0.25661160714285713,Low
17-2171,Petroleum Engineers,Architecture and Engineering,Architecture and Engineering Occupations,0.0,0.9866071428571429,0.6815476190476191,0.16,0.8,0.23238690476190477,Low
17-2199,"Engineers, All Other",Architecture and Engineering,Architecture and Engineering Occupations,0.0659,0.9211309523809523,0.3303571428571429,-0.01,0.8,0.13694928571428572,Low
17-3011,Architectural and Civil Drafters,Architecture and Engineering,Architecture and Engineering Occupations,0.0,0.5997023809523809,0.3526785714285714,0.52,0.6,0.25216964285714283,Low
17-3012,Electrical and Electronics Drafters,Architecture and Engineering,Architecture and Engineering Occupations,0.0889,0.6681547619047619,0.6495535714285714,-0.01,0.6,0.2559483928571429,Low
17-3013,Mechanical Drafters,Architecture and Engineering,Architecture and Engineering Occupations,0.0,0.6145833333333334,0.5052083333333333,0.68,0.6,0.3223020833333333,Low
17-3021,Aerospace Engineering and Operations Technologists and Technicians,Architecture and Engineering,Architecture and Engineering Occupations,0.0,0.7485119047619048,0.8504464285714286,0.48,0.6,0.3686116071428572,Medium
17-3022,Civil Engineering Technologists and Technicians,Architecture and Engineering,Architecture and Engineering Occupations,0.0776,0.5580357142857143,0.42782738095238093,0.75,0.6,0.34799684523809526,Medium
17-3023,Electrical and Electronic Engineering Technologists and Technicians,Architecture and Engineering,Architecture and Engineering Occupations,0.0202,0.7291666666666666,0.31101190476190477,-0.01,0.6,0.1438329761904762,Low
17-3024,Electro-Mechanical and Mechatronics Technologists and Technicians,Architecture and Engineering,Architecture and Engineering Occupations,0.0,0.6398809523809523,0.8147321428571428,0.81,0.6,0.42568303571428573,Medium
17-3025,Environmental Engineering Technologists and Technicians,Architecture and Engineering,Architecture and Engineering Occupations,0.1029,0.5372023809523809,0.7380952380952381,0.25,0.8,0.3056838095238095,Low
17-3026,Industrial Engineering Technologists and Technicians,Architecture and Engineering,Architecture and Engineering Occupations,0.0,0.6086309523809523,0.46502976190476186,0.03,0.6,0.18225744047619047,Low
17-3027,Mechanical Engineering Technologists and Technicians,Architecture and Engineering,Architecture and Engineering Occupations,0.0683,0.625,0.5647321428571428,0.38,0.6,0.3045030357142857,Low
17-3029,"Engineering Technologists and Technicians, Except Drafters, All Other",Architecture and Engineering,Architecture and Engineering Occupations,0.0,0.7172619047619048,0.39657738095238093,-0.01,0.6,0.15714434523809523,Low
17-3031,Surveying and Mapping Technicians,Architecture and Engineering,Architecture and Engineering Occupations,0.0,0.44494047619047616,0.4486607142857143,-0.01,0.6,0.17016517857142857,Low
19-1011,Animal Scientists,"Life, Physical, and Social Science","Life, Physical, and Social Science Occupations",0.0,0.6517857142857143,0.9672619047619048,0.06,1.0,0.2538154761904762,Low
19-1012,Food Scientists and Technologists,"Life, Physical, and Social Science","Life, Physical, and Social Science Occupations",0.0,0.7380952380952381,0.7604166666666666,0.08,0.8,0.23610416666666664,Low
19-1013,Soil and Plant Scientists,"Life, Physical, and Social Science","Life, Physical, and Social Science Occupations",0.0513,0.7217261904761905,0.7135416666666667,0.02,1.0,0.2029054166666667,Low
19-1021,Biochemists and Biophysicists,"Life, Physical, and Social Science","Life, Physical, and Social Science Occupations",0.0756,0.9077380952380952,0.6346726190476191,0.03,1.0,0.19490815476190476,Low
19-1022,Microbiologists,"Life, Physical, and Social Science","Life, Physical, and Social Science Occupations",0.0969,0.7886904761904762,0.7269345238095238,0.012,1.0,0.22289363095238096,Low
19-1023,Zoologists and Wildlife Biologists,"Life, Physical, and Social Science","Life, Physical, and Social Science Occupations",0.0606,0.7202380952380952,0.7477678571428572,0.3,1.0,0.2711819642857143,Low
19-1029,"Biological Scientists, All Other","Life, Physical, and Social Science","Life, Physical, and Social Science Occupations",0.2452,0.8392857142857143,0.5394345238095238,-0.01,1.0,0.23093863095238096,Low
19-1031,Conservation Scientists,"Life, Physical, and Social Science","Life, Physical, and Social Science Occupations",0.0,0.6875,0.671875,-0.01,0.8,0.19596875,Low
19-1032,Foresters,"Life, Physical, and Social Science","Life, Physical, and Social Science Occupations",0.0,0.6904761904761905,0.8668154761904762,0.008,0.8,0.24830386904761903,Low
19-1041,Epidemiologists,"Life, Physical, and Social Science","Life, Physical, and Social Science Occupations",0.0,0.7663690476190477,0.9159226190476191,0.2,1.0,0.2689806547619048,Low
19-1042,"Medical Scientists, Except Epidemiologists","Life, Physical, and Social Science","Life, Physical, and Social Science Occupations",0.0381,0.875,0.3080357142857143,0.005,1.0,0.09324892857142858,Low
19-2011,Astronomers,"Life, Physical, and Social Science","Life, Physical, and Social Science Occupations",0.3849,0.9479166666666666,0.9836309523809523,0.04,1.0,0.40786773809523813,Medium
19-2012,Physicists,"Life, Physical, and Social Science","Life, Physical, and Social Science Occupations",0.2727,0.9717261904761905,0.7604166666666666,0.1,1.0,0.3191841666666667,Low
19-2021,Atmospheric and Space Scientists,"Life, Physical, and Social Science","Life, Physical, and Social Science Occupations",0.038,0.9122023809523809,0.8504464285714286,0.67,0.8,0.3918116071428571,Medium
19-2031,Chemists,"Life, Physical, and Social Science","Life, Physical, and Social Science Occupations",0.2614,0.8288690476190477,0.4017857142857143,0.1,0.8,0.2550064285714286,Low
19-2032,Materials Scientists,"Life, Physical, and Social Science","Life, Physical, and Social Science Occupations",0.1843,0.9270833333333334,0.8958333333333334,0.02,1.0,0.3016783333333333,Low
19-2041,"Environmental Scientists and Specialists, Including Health","Life, Physical, and Social Science","Life, Physical, and Social Science Occupations",0.0548,0.7805059523809523,0.36309523809523814,-0.01,1.0,0.11069380952380953,Low
19-2042,"Geoscientists, Except Hydrologists and Geographers","Life, Physical, and Social Science","Life, Physical, and Social Science Occupations",0.043,0.9002976190476191,0.6063988095238095,0.63,0.8,0.32479970238095235,Low
19-2043,Hydrologists,"Life, Physical, and Social Science","Life, Physical, and Social Science Occupations",0.0748,0.8348214285714286,0.8958333333333334,0.013999999999999999,1.0,0.25667833333333334,Low
19-2099,"Physical Scientists, All Other","Life, Physical, and Social Science","Life, Physical, and Social Science Occupations",0.0379,0.9508928571428571,0.7477678571428572,-0.01,1.0,0.2001019642857143,Low
19-3011,Economists,"Life, Physical, and Social Science","Life, Physical, and Social Science Occupations",0.2418,0.9449404761904762,0.7604166666666666,-0.01,1.0,0.28482416666666666,Low
19-3022,Survey Researchers,"Life, Physical, and Social Science","Life, Physical, and Social Science Occupations",0.4316,0.6369047619047619,0.8013392857142857,0.23,1.0,0.4189748214285714,Medium
19-3032,Industrial-Organizational Psychologists,"Life, Physical, and Social Science","Life, Physical, and Social Science Occupations",0.1577,0.9226190476190477,0.9962797619047619,0.012,1.0,0.3145499404761905,Low
19-3039,"Psychologists, All Other","Life, Physical, and Social Science","Life, Physical, and Social Science Occupations",0.0,0.9300595238095238,0.7864583333333334,-0.01,1.0,0.19461458333333334,Low
19-3041,Sociologists,"Life, Physical, and Social Science","Life, Physical, and Social Science Occupations",0.3833,0.8571428571428571,0.9553571428571429,0.06,1.0,0.4041592857142857,Medium
19-3051,Urban and Regional Planners,"Life, Physical, and Social Science","Life, Physical, and Social Science Occupations",0.0959,0.8020833333333334,0.5714285714285714,0.13,1.0,0.20721714285714285,Low
19-3091,Anthropologists and Archeologists,"Life, Physical, and Social Science","Life, Physical, and Social Science Occupations",0.1354,0.7008928571428571,0.8958333333333334,-0.01,1.0,0.27611833333333335,Low
19-3092,Geographers,"Life, Physical, and Social Science","Life, Physical, and Social Science Occupations",0.1096,0.8497023809523809,0.9836309523809523,0.25,1.0,0.33974773809523806,Medium
19-3093,Historians,"Life, Physical, and Social Science","Life, Physical, and Social Science Occupations",0.028,0.6860119047619048,0.9553571428571429,0.44,1.0,0.33803928571428576,Medium
19-3094,Political Scientists,"Life, Physical, and Social Science","Life, Physical, and Social Science Occupations",0.452,0.9672619047619048,0.8958333333333334,0.04,1.0,0.41275833333333334,Medium
19-3099,"Social Scientists and Related Workers, All Other","Life, Physical, and Social Science","Life, Physical, and Social Science Occupations",0.0327,0.8541666666666666,0.5327380952380952,-0.01,0.8,0.1742645238095238,Low
19-4021,Biological Technicians,"Life, Physical, and Social Science","Life, Physical, and Social Science Occupations",0.0599,0.4479166666666667,0.37648809523809523,0.3,0.8,0.20808202380952381,Low
19-4031,Chemical Technicians,"Life, Physical, and Social Science","Life, Physical, and Social Science Occupations",0.3148,0.5,0.4486607142857143,0.57,0.6,0.41208517857142857,Medium
19-4051,Nuclear Technicians,"Life, Physical, and Social Science","Life, Physical, and Social Science Occupations",0.0,0.8333333333333334,0.8794642857142857,0.85,0.6,0.44986607142857143,Medium
19-4061,Social Science Research Assistants,"Life, Physical, and Social Science","Life, Physical, and Social Science Occupations",0.4393,0.4732142857142857,0.5126488095238095,0.65,0.8,0.4638822023809524,Medium
19-4092,Forensic Science Technicians,"Life, Physical, and Social Science","Life, Physical, and Social Science Occupations",0.0,0.6465773809523809,0.6934523809523809,0.01,0.8,0.20536309523809523,Low
19-4099,"Life, Physical, and Social Science Technicians, All Other","Life, Physical, and Social Science","Life, Physical, and Social Science Occupations",0.0955,0.5238095238095238,0.3816964285714286,-0.01,0.6,0.19162410714285716,Low
21-1012,"Educational, Guidance, and Career Counselors and Advisors",Community and Social Service,Community and Social Service Occupations,0.1182,0.6264880952380952,0.14806547619047616,0.009000000000000001,1.0,0.08609636904761904,Low
21-1013,Marriage and Family Therapists,Community and Social Service,Community and Social Service Occupations,0.0,0.5290178571428571,0.43601190476190477,0.013999999999999999,1.0,0.11180297619047619,Low
21-1015,Rehabilitation Counselors,Community and Social Service,Community and Social Service Occupations,0.0,0.25744047619047616,0.2946428571428571,0.009000000000000001,1.0,0.07546071428571427,Low
21-1021,"Child, Family, and School Social Workers",Community and Social Service,Community and Social Service Occupations,0.0074,0.46577380952380953,0.1517857142857143,0.03,0.8,0.07690642857142857,Low
21-1022,Healthcare Social Workers,Community and Social Service,Community and Social Service Occupations,0.0916,0.6220238095238095,0.20907738095238093,0.004,1.0,0.08970934523809523,Low
21-1023,Mental Health and Substance Abuse Social Workers,Community and Social Service,Community and Social Service Occupations,0.0,0.4494047619047619,0.26934523809523814,0.003,1.0,0.06793630952380954,Low
21-1091,Health Education Specialists,Community and Social Service,Community and Social Service Occupations,0.1376,0.5863095238095238,0.4174107142857143,0.05,0.8,0.1993926785714286,Low
21-1092,Probation Officers and Correctional Treatment Specialists,Community and Social Service,Community and Social Service Occupations,0.0,0.5654761904761905,0.40997023809523814,0.25,0.8,0.18249255952380952,Low
21-1093,Social and Human Service Assistants,Community and Social Service,Community and Social Service Occupations,0.0,0.21205357142857142,0.09523809523809523,0.13,0.8,0.0798095238095238,Low
21-1094,Community Health Workers,Community and Social Service,Community and Social Service Occupations,0.0,0.35267857142857145,0.40997023809523814,-0.01,0.8,0.13049255952380953,Low
21-2011,Clergy,Community and Social Service,Community and Social Service Occupations,0.1116,0.5119047619047619,0.18154761904761907,0.008,1.0,0.09162690476190478,Low
21-2021,"Directors, Religious Activities and Education",Community and Social Service,Community and Social Service Occupations,0.153,0.39211309523809523,0.2142857142857143,0.03,0.8,0.15077142857142858,Low
23-1011,Lawyers,Legal,Legal Occupations,0.1673,0.9702380952380952,0.1205357142857143,0.04,1.0,0.10505392857142859,Low
23-1012,Judicial Law Clerks,Legal,Legal Occupations,0.1704,0.5758928571428571,0.8958333333333334,0.41,1.0,0.3741183333333334,Medium
23-1021,"Administrative Law Judges, Adjudicators, and Hearing Officers",Legal,Legal Occupations,0.3048,0.9285714285714286,0.8958333333333334,0.64,1.0,0.47387833333333335,Medium
23-1022,"Arbitrators, Mediators, and Conciliators",Legal,Legal Occupations,0.2426,0.6994047619047619,0.9553571428571429,0.06,1.0,0.3478792857142857,Medium
23-1023,"Judges, Magistrate Judges, and Magistrates",Legal,Legal Occupations,0.3109,0.9836309523809523,0.8013392857142857,0.4,1.0,0.40469482142857144,Medium
23-2011,Paralegals and Legal Assistants,Legal,Legal Occupations,0.2927,0.5416666666666666,0.1339285714285714,0.94,0.6,0.39856214285714286,Medium
23-2093,"Title Examiners, Abstractors, and Searchers",Legal,Legal Occupations,0.0216,0.4791666666666667,0.5007440476190477,0.99,0.4,0.4218260119047619,Medium
25-1011,"Business Teachers, Postsecondary","Education, Training, and Library",Educational Instruction and Library Occupations,0.3072,0.8705357142857143,0.34375,-0.01,1.0,0.2068175,Low
25-1021,"Computer Science Teachers, Postsecondary","Education, Training, and Library",Educational Instruction and Library Occupations,0.2414,0.8586309523809523,0.6063988095238095,-0.01,1.0,0.2461597023809524,Low
25-1022,"Mathematical Science Teachers, Postsecondary","Education, Training, and Library",Educational Instruction and Library Occupations,0.4305,0.8035714285714286,0.5126488095238095,-0.01,1.0,0.2983622023809524,Low
25-1031,"Architecture Teachers, Postsecondary","Education, Training, and Library",Educational Instruction and Library Occupations,0.0,0.8824404761904762,0.8958333333333334,-0.01,1.0,0.22195833333333334,Low
25-1032,"Engineering Teachers, Postsecondary","Education, Training, and Library",Educational Instruction and Library Occupations,0.3589,0.9360119047619048,0.5394345238095238,-0.01,1.0,0.27641863095238095,Low
25-1041,"Agricultural Sciences Teachers, Postsecondary","Education, Training, and Library",Educational Instruction and Library Occupations,0.0,0.8735119047619048,0.8348214285714286,-0.01,1.0,0.20670535714285715,Low
25-1042,"Biological Science Teachers, Postsecondary","Education, Training, and Library",Educational Instruction and Library Occupations,0.2914,0.8630952380952381,0.4709821428571429,-0.01,1.0,0.23230553571428572,Low
25-1043,"Forestry and Conservation Science Teachers, Postsecondary","Education, Training, and Library",Educational Instruction and Library Occupations,0.0206,0.8809523809523809,0.9836309523809523,-0.01,1.0,0.2521477380952381,Low
25-1051,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary","Education, Training, and Library",Educational Instruction and Library Occupations,0.0396,0.8988095238095238,0.8348214285714286,-0.01,1.0,0.22254535714285714,Low
25-1052,"Chemistry Teachers, Postsecondary","Education, Training, and Library",Educational Instruction and Library Occupations,0.2185,0.8377976190476191,0.6934523809523809,-0.01,1.0,0.25876309523809526,Low
25-1053,"Environmental Science Teachers, Postsecondary","Education, Training, and Library",Educational Instruction and Library Occupations,0.0232,0.8452380952380952,0.9159226190476191,-0.01,1.0,0.23626065476190478,Low
25-1054,"Physics Teachers, Postsecondary","Education, Training, and Library",Educational Instruction and Library Occupations,0.0,0.8973214285714286,0.7864583333333334,-0.01,1.0,0.19461458333333334,Low
25-1061,"Anthropology and Archeology Teachers, Postsecondary","Education, Training, and Library",Educational Instruction and Library Occupations,0.0236,0.8690476190476191,0.9159226190476191,-0.01,1.0,0.23642065476190477,Low
