occ_code,task,penetration
27-2012.01,"Coordinate the activities of writers, directors, managers, and other personnel throughout the production process.",1.0
13-2051.00,Evaluate and compare the relative quality of various securities in a given industry.,1.0
53-2022.00,Provide aircrews with information and services needed for airfield management and flight planning.,1.0
43-9061.00,"Complete work schedules, manage calendars, and arrange appointments.",1.0
17-3027.00,"Record test procedures and results, numerical and graphical data, and recommendations for changes in product or test methods.",1.0
43-4151.00,Receive and respond to customer complaints.,1.0
43-4151.00,"Inform customers by mail or telephone of order information, such as unit prices, shipping dates, and any anticipated delays.",1.0
25-2012.00,"Prepare, administer, and grade tests and assignments to evaluate children's progress.",1.0
25-1061.00,"Advise students on academic and vocational curricula, career issues, and laboratory and field research.",1.0
51-8092.00,"Record, review, and compile operations records, test results, and gauge readings such as temperatures, pressures, concentrations, and flows.",1.0
11-2011.01,Analyze the effectiveness of marketing tactics or channels.,1.0
29-2071.00,"Enter data, such as demographic characteristics, history and extent of disease, diagnostic procedures, or treatment into computer.",1.0
29-2035.00,Write reports or notes to summarize testing procedures or outcomes for physicians or other medical professionals.,1.0
19-4041.01,"Create photographic recordings of information, using equipment.",1.0
13-1151.00,"Assess training needs through surveys, interviews with employees, focus groups, or consultation with managers, instructors, or customer representatives.",1.0
19-4099.01,Compile laboratory test data and perform appropriate analyses.,1.0
43-6011.00,Make travel arrangements for executives.,1.0
27-3042.00,Analyze developments in specific field to determine need for revisions in previously published materials and development of new material.,1.0
41-4011.00,Prepare and submit sales contracts for orders.,1.0
53-2031.00,"Answer passengers' questions about flights, aircraft, weather, travel routes and services, arrival times, or schedules.",1.0
49-9061.00,Record test data and document fabrication techniques on reports.,1.0
41-4011.00,"Maintain customer records, using automated systems.",1.0
29-2052.00,"Answer telephones, responding to questions or requests.",1.0
15-1152.00,Document help desk requests and resolutions.,1.0
11-9111.00,"Prepare activity reports to inform management of the status and implementation plans of programs, services, and quality initiatives.",1.0
39-7012.00,"Resolve any problems with itineraries, service, or accommodations.",1.0
11-9199.03,Identify group or individual target investors for a specific fund.,1.0
25-1022.00,"Conduct research in a particular field of knowledge and publish findings in books, professional journals, or electronic media.",1.0
43-6012.00,Schedule and make appointments.,1.0
19-3031.01,Conduct research to generate new knowledge that can be used to address learning and behavior issues.,1.0
31-9094.00,"Transcribe dictation for a variety of medical reports, such as patient histories, physical examinations, emergency room visits, operations, chart reviews, consultation, or discharge summaries.",1.0
19-4041.01,"Interview individuals, and research public databases in order to obtain information.",1.0
43-6013.00,Answer telephones and direct calls to appropriate staff.,1.0
51-9198.00,"Record information, such as the number of products tested, meter readings, or dates and times of product production.",1.0
29-2071.00,Process and prepare business or government forms.,1.0
21-1021.00,Conduct social research.,1.0
39-5012.00,Schedule client appointments.,1.0
27-3041.00,"Read material to determine index items and arrange them alphabetically or topically, indicating page or chapter location.",1.0
13-1199.06,Determine location for product listings to maximize exposure to online traffic.,1.0
43-3031.00,"Operate computers programmed with accounting software to record, store, and analyze information.",1.0
25-2052.00,Organize and display students' work in a manner appropriate for their perceptual skills.,1.0
41-3031.03,"Buy or sell stocks, bonds, commodity futures, foreign currencies, or other securities on behalf of investment dealers.",1.0
29-2011.00,Enter data from analysis of medical tests or clinical results into computer for storage.,1.0
43-3021.02,Contact customers to obtain or relay account information.,1.0
15-2021.00,Develop new principles and new relationships between existing mathematical principles to advance mathematical science.,1.0
15-2021.00,"Conduct research to extend mathematical knowledge in traditional areas, such as algebra, geometry, probability, and logic.",1.0
19-3091.01,"Create data records for use in describing and analyzing social patterns and processes, using photography, videography, and audio recordings.",1.0
43-3021.02,Keep records of invoices and support documents.,1.0
41-2021.00,Advise customers on use and care of merchandise.,1.0
15-1134.00,Create searchable indices for Web page content.,1.0
15-1134.00,Identify or maintain links to and from other Web sites and check links to ensure proper functioning.,1.0
41-1011.00,Monitor sales activities to ensure that customers receive satisfactory service and quality goods.,1.0
25-2022.00,"Assist students who need extra help, such as by tutoring and preparing and implementing remedial programs.",1.0
15-1134.00,"Respond to user email inquiries, or set up automated systems to send responses.",1.0
13-2072.00,Handle customer complaints and take appropriate action to resolve them.,1.0
13-1023.00,"Review catalogs, industry periodicals, directories, trade journals, and Internet sites and consult with other department personnel to locate necessary goods and services.",1.0
51-9032.00,"Review work orders, blueprints, specifications, or job samples to determine components, settings, and adjustments for cutting and slicing machines.",1.0
41-3041.00,"Converse with customer to determine destination, mode of transportation, travel dates, financial considerations, and accommodations required.",1.0
31-9092.00,Schedule appointments for patients.,1.0
15-1143.01,Provide user support by diagnosing network and device problems and implementing technical or procedural solutions.,1.0
15-1143.01,Prepare system activity and performance reports.,1.0
41-3041.00,"Provide customer with brochures and publications containing travel information, such as local customs, points of interest, or foreign country regulations.",1.0
13-2021.01,Maintain familiarity with aspects of local real estate markets.,1.0
43-6013.00,"Schedule and confirm patient diagnostic appointments, surgeries, or medical consultations.",1.0
13-1199.06,Create or maintain database of customer accounts.,1.0
43-9021.00,"Read source documents such as canceled checks, sales reports, or bills, and enter data in specific data fields or onto tapes or disks for subsequent entry, using keyboards or scanners.",1.0
51-9151.00,"Examine drawings, negatives, or photographic prints to determine coloring, shading, accenting, or other changes required for retouching or restoration.",1.0
41-4011.00,"Inform customers of estimated delivery schedules, service contracts, warranties, or other information pertaining to purchased products.",1.0
11-9031.00,"Collect and analyze survey data, regulatory information, and demographic and employment trends to forecast enrollment patterns and the need for curriculum changes.",1.0
13-1041.02,"Evaluate applications, records, or documents to gather information about eligibility or liability issues.",1.0
11-9199.02,"Verify that all firm and regulatory policies and procedures have been documented, implemented, and communicated.",1.0
19-3011.01,"Develop economic models, forecasts, or scenarios to predict future economic and environmental outcomes.",1.0
23-1023.00,Read documents on pleadings and motions to ascertain facts and issues.,1.0
19-3094.00,Teach political science.,1.0
29-1069.12,Document or review patients' histories.,1.0
19-3094.00,"Develop and test theories, using information from interviews, newspapers, periodicals, case law, historical papers, polls, or statistical sources.",1.0
43-9022.00,"Search for specific sets of stored, typed characters to make changes.",1.0
25-4021.00,Analyze patrons' requests to determine needed information and assist in furnishing or locating that information.,1.0
15-1199.02,"Verify stability, interoperability, portability, security, or scalability of system architecture.",1.0
51-9023.00,Record operational or production data on specified forms.,1.0
15-2041.02,"Process clinical data, including receipt, entry, verification, or filing of information.",1.0
43-3061.00,"Track the status of requisitions, contracts, and orders.",1.0
43-3061.00,"Respond to customer and supplier inquiries about order status, changes, or cancellations.",1.0
43-9031.00,"Convert various types of files for printing or for the Internet, using computer software.",1.0
33-9099.02,"Monitor compliance with standard operating procedures for loss prevention, physical security, or risk management.",1.0
11-9051.00,"Investigate and resolve complaints regarding food quality, service, or accommodations.",1.0
43-5011.01,Monitor or record locations of goods in transit.,1.0
43-3061.00,"Locate suppliers, using sources such as catalogs and the internet, and interview them to gather information about products to be ordered.",1.0
11-3051.01,Confer with marketing and sales departments to define client requirements and expectations.,1.0
19-2011.00,"Study celestial phenomena, using a variety of ground-based and space-borne telescopes and scientific instruments.",1.0
13-2053.00,Decline excessive risks.,1.0
15-1199.01,Investigate customer problems referred by technical support.,1.0
43-6014.00,"Provide services to customers, such as order placement or account information.",1.0
15-1199.01,Monitor bug resolution efforts and track successes.,1.0
19-3041.00,"Collect data about the attitudes, values, and behaviors of people in groups, using observation, interviews, and review of documents.",1.0
43-6014.00,"Answer telephones and give information to callers, take messages, or transfer calls to appropriate individuals.",1.0
11-9199.03,Select or direct the execution of trades.,1.0
33-3051.01,Record facts to prepare reports that document incidents and activities.,1.0
31-9094.00,"Receive patients, schedule appointments, and maintain patient records.",1.0
51-8013.00,"Record and compile operational data by completing and maintaining forms, logs, or reports.",1.0
43-6014.00,Greet visitors or callers and handle their inquiries or direct them to the appropriate persons according to their needs.,1.0
15-2041.01,Collect data through surveys or experimentation.,1.0
41-9022.00,Solicit and compile listings of available rental properties.,1.0
49-2022.00,"Diagnose and correct problems from remote locations, using special switchboards to find the sources of problems.",1.0
11-9199.03,Manage investment funds to maximize return on client investments.,1.0
27-1022.00,"Identify target markets for designs, looking at factors such as age, gender, and socioeconomic status.",1.0
43-4071.00,"Input data, such as file numbers, new or updated information, or document information codes into computer systems to support document and information retrieval.",1.0
43-5032.00,"Schedule or dispatch workers, work crews, equipment, or service vehicles to appropriate locations, according to customer requests, specifications, or needs, using radios or telephones.",1.0
41-4011.00,"Select or assist customers in selecting products based on customer needs, product specifications, and applicable regulations.",1.0
43-5031.00,Read and effectively interpret small-scale maps and information from a computer screen to determine locations and provide directions.,1.0
19-3093.00,"Determine which topics to research, or pursue research topics specified by clients or employers.",1.0
43-6014.00,"Arrange conference, meeting, or travel reservations for office personnel.",1.0
17-3012.01,"Locate files relating to specified design project in database library, load program into computer, and record completed job data.",1.0
39-1021.00,Apply customer feedback to service improvement efforts.,0.9979
43-9111.00,Enter data into computers for use in analyses or reports.,0.9979
43-4081.00,Make and confirm reservations.,0.9971
19-3022.00,"Review, classify, and record survey data in preparation for computer analysis.",0.9971
19-4061.00,Code data in preparation for computer entry.,0.997
11-3071.01,"Monitor operations to ensure that staff members comply with administrative policies and procedures, safety rules, union contracts, environmental policies, or government regulations.",0.9962
43-9041.02,Process and record new insurance policies and claims.,0.996
15-1199.04,"Create, analyze, report, convert, or transfer data, using specialized applications program software.",0.9958
43-4111.00,"Collect and analyze data, such as studying old records, tallying the number of outpatients entering each day or week, or participating in federal, state, or local population surveys as a Census Enumerator.",0.9956
43-4051.00,"Keep records of customer interactions or transactions, recording details of inquiries, complaints, or comments, as well as actions taken.",0.9951
19-4041.02,"Test and analyze samples to determine their content and characteristics, using laboratory apparatus or testing equipment.",0.9949
13-1199.06,Cancel orders based on customer requests or inventory or delivery problems.,0.9947
41-9041.00,"Obtain customer information such as name, address, and payment method, and enter orders into computers.",0.9943
41-1012.00,"Examine merchandise to ensure correct pricing and display, and that it functions as advertised.",0.994
13-1031.02,Examine claims forms and other records to determine insurance coverage.,0.9938
25-3099.02,"Administer, proctor, or score academic or diagnostic assessments.",0.9936
41-2031.00,"Recommend, select, and help locate or obtain merchandise based on customer needs and desires.",0.9936
23-2091.00,Record symbols on computer storage media and use computer aided transcription to translate and display them as text.,0.9935
15-1199.01,Test system modifications to prepare for implementation.,0.9935
29-1141.00,"Monitor, record, and report symptoms or changes in patients' conditions.",0.9934
29-1069.10,"Document the performance, interpretation, or outcomes of all procedures performed.",0.9929
15-2021.00,"Address the relationships of quantities, magnitudes, and forms through the use of numbers and symbols.",0.9928
43-4131.00,Interview loan applicants to obtain personal and financial data and to assist in completing applications.,0.9928
41-9091.00,Write and record orders for merchandise or enter orders into computers.,0.9925
41-4012.00,"Contact regular and prospective customers to demonstrate products, explain product features, and solicit orders.",0.9923
43-9022.00,"Use data entry devices, such as optical scanners, to input data into computers for revision or editing.",0.9923
43-4111.00,"Compile, record, and code results or data from interview or survey, using computer or specified form.",0.9919
43-4121.00,Classify and catalog items according to content and purpose.,0.9918
41-9022.00,Interview clients to determine what kinds of properties they are seeking.,0.9917
41-9022.00,Coordinate appointments to show homes to prospective buyers.,0.9916
19-3091.02,"Record the exact locations and conditions of artifacts uncovered in diggings or surveys, using drawings and photographs as necessary.",0.9915
41-1011.00,Examine merchandise to ensure that it is correctly priced and displayed and that it functions as advertised.,0.9915
43-4051.00,Contact customers to respond to inquiries or to notify them of claim investigation results or any planned adjustments.,0.9913
43-4021.00,"Gather records pertinent to specific problems, review them for completeness and accuracy, and attach records to correspondence as necessary.",0.9911
15-1199.07,"Perform system analysis, data analysis or programming, using a variety of computer languages and procedures.",0.991
43-4051.00,"Confer with customers by telephone or in person to provide information about products or services, take or enter orders, cancel accounts, or obtain details of complaints.",0.991
15-1199.01,Update automated test scripts to ensure currency.,0.9909
15-1199.02,Perform security analyses of developed or packaged software components.,0.9909
17-3027.01,"Document test results, using cameras, spreadsheets, documents, or other tools.",0.9908
19-1021.00,Study the mutations in organisms that lead to cancer or other diseases.,0.9907
43-6014.00,"Schedule and confirm appointments for clients, customers, or supervisors.",0.9907
23-2091.00,Transcribe recorded proceedings in accordance with established formats.,0.9898
43-9111.01,Conduct quality analyses of data inputs and resulting analyses or predictions.,0.9892
19-3032.00,"Study consumers' reactions to new products and package designs, and to advertising efforts, using surveys and tests.",0.9892
51-9021.00,"Record data from operations, testing, and production on specified forms.",0.989
37-1012.00,"Monitor project activities to ensure that instructions are followed, deadlines are met, and schedules are maintained.",0.9885
11-9131.00,Resolve customer complaints.,0.9881
19-4041.02,"Compile, log, or record testing or operational data for review and further analysis.",0.9879
43-4181.00,"Make and confirm reservations for transportation and accommodations, using telephones, faxes, mail, and computers.",0.9876
41-4011.00,Contact new or existing customers to discuss how specific products or services can meet their needs.,0.9868
13-1081.01,"Analyze or interpret logistics data involving customer service, forecasting, procurement, manufacturing, inventory, transportation, or warehousing.",0.9867
11-2011.00,Contact organizations to explain services and facilities offered.,0.9863
41-3021.00,"Interview prospective clients to obtain data about their financial resources and needs, the physical condition of the person or property to be insured, and to discuss any existing coverage.",0.9861
31-9094.00,"Perform data entry and data retrieval services, providing data for inclusion in medical records and for transmission to physicians.",0.9858
41-3031.02,Contact prospective customers to present information and explain available services.,0.9853
41-4012.00,"Identify prospective customers by using business directories, following leads from existing clients, participating in organizations and clubs, and attending trade shows and conferences.",0.9852
15-1131.00,"Investigate whether networks, workstations, the central processing unit of the system, or peripheral equipment are responding to a program's instructions.",0.9848
51-9198.00,"Read gauges or charts, and record data obtained.",0.9848
19-2099.01,Compile and format image data to increase its usefulness.,0.9847
11-3071.03,"Resolve problems concerning transportation, logistics systems, imports or exports, or customer issues.",0.9847
31-9094.00,"Take dictation using shorthand, a stenotype machine, or headsets and transcribing machines.",0.9846
11-3031.02,Review reports of securities transactions or price lists to analyze market conditions.,0.9844
41-3011.00,"Obtain and study information about clients' products, needs, problems, advertising history, and business practices to offer effective sales presentations and appropriate product assistance.",0.9844
15-1199.02,"Perform ongoing hardware and software maintenance operations, including installing or upgrading hardware or software.",0.9842
27-3031.00,Respond to requests for information from the media or designate an appropriate spokesperson or information source.,0.9841
43-1011.00,Resolve customer complaints or answer customers' questions regarding policies and procedures.,0.9838
51-6061.00,Key in processing instructions to program electronic equipment.,0.9838
41-9022.00,Generate lists of properties that are compatible with buyers' needs and financial resources.,0.9837
15-1131.00,Perform systems analysis and programming tasks to maintain and control the use of computer systems software as a systems programmer.,0.9833
11-3061.00,Administer online purchasing systems.,0.983
15-1143.01,"Implement controls to provide security for operating systems, software, and data.",0.9828
53-3031.00,Listen to and resolve customers' complaints regarding products or services.,0.9827
25-9041.00,"Type, file, and duplicate materials.",0.9825
15-1134.00,"Evaluate code to ensure that it is valid, is properly structured, meets industry standards, and is compatible with browsers, devices, or operating systems.",0.9824
29-1141.03,Compile and analyze data obtained from monitoring or diagnostic tests.,0.982
41-4012.00,"Answer customers' questions about products, prices, availability, product uses, and credit terms.",0.9818
51-2011.00,"Read blueprints, illustrations, or specifications to determine layouts, sequences of operations, or identities or relationships of parts.",0.9816
29-2071.00,Transcribe medical reports.,0.9814
29-2012.00,"Analyze and record test data to issue reports that use charts, graphs, or narratives.",0.9812
15-1141.00,"Test programs or databases, correct errors, and make necessary modifications.",0.9809
39-1021.01,Respond to customer inquiries or complaints.,0.9807
11-9081.00,"Answer inquiries pertaining to hotel policies and services, and resolve occupants' complaints.",0.9807
15-2041.02,Prepare appropriate formatting to data sets as requested.,0.9805
11-9121.01,"Code, evaluate, or interpret collected study data.",0.9804
11-2022.00,Resolve customer complaints regarding sales and service.,0.9804
15-1199.10,"Coordinate sales or other promotional strategies with merchandising, operations, or inventory control staff to ensure product catalogs are current, accurate, and organized for best findability against user intent.",0.9801
43-1011.00,"Coordinate or perform activities associated with shipping, receiving, distribution, or transportation.",0.9801
41-3031.03,Monitor markets or positions.,0.9801
15-1199.12,"Implement scanning or other automated data entry procedures, using imaging devices and document imaging software.",0.9799
25-9041.00,Tutor and assist children individually or in small groups to help them master assignments and to reinforce learning concepts presented by teachers.,0.9798
27-1014.00,Use models to simulate the behavior of animated objects in the finished sequence.,0.9797
19-4031.00,Compile and interpret results of tests and analyses.,0.9795
13-1081.02,"Interpret data on logistics elements, such as availability, maintainability, reliability, supply chain management, strategic sourcing or distribution, supplier management, or transportation.",0.9793
13-1161.00,Seek and provide information to help companies determine their position in the marketplace.,0.9792
17-2141.00,"Read and interpret blueprints, technical drawings, schematics, or computer-generated reports.",0.9792
15-2041.02,"Prepare data analysis listings and activity, performance, or progress reports.",0.9789
27-4021.00,"Manipulate and enhance scanned or digital images to create desired effects, using computers and specialized software.",0.9786
15-1199.09,Direct or coordinate activities of project personnel.,0.9785
11-3031.02,"Examine, evaluate, or process loan applications.",0.9784
13-2052.00,"Manage client portfolios, keeping client plans up-to-date.",0.9784
27-3043.05,"Write narrative, dramatic, lyric, or other types of poetry for publication.",0.9784
19-4011.02,"Examine chemical or biological samples to identify cell structures or to locate bacteria or extraneous material, using a microscope.",0.9782
13-1071.00,"Interview job applicants to obtain information on work history, training, education, or job skills.",0.978
15-1199.07,"Implement business rules via stored procedures, middleware, or other technologies.",0.978
15-1151.00,Enter commands and observe system functioning to verify correct operations and detect errors.,0.9777
37-1012.00,"Answer inquiries from current or prospective customers regarding methods, materials, or price ranges.",0.9777
29-2071.00,"Identify, compile, abstract, and code patient data, using standard classification systems.",0.9776
43-4041.01,"Receive charge slips or credit applications by mail, or receive information from salespeople or merchants by telephone.",0.9771
33-1011.00,"Maintain knowledge of, comply with, and enforce all institutional policies, rules, procedures, and regulations.",0.9769
11-9199.07,"Analyze and evaluate security operations to identify risks or opportunities for improvement through auditing, review, or assessment.",0.9768
13-1141.00,"Analyze organizational, occupational, and industrial data to facilitate organizational functions and provide technical information to business, industry, and government.",0.9764
11-9199.07,"Identify, investigate, or resolve security breaches.",0.9764
51-9061.00,"Analyze test data, making computations as necessary, to determine test results.",0.9763
17-3012.01,Key and program specified commands and engineering specifications into computer system to change functions and test final layout.,0.9762
27-3011.00,"Select program content, in conjunction with producers and assistants, based on factors such as program specialties, audience tastes, or requests from the public.",0.976
13-1071.00,"Perform searches for qualified job candidates, using sources such as computer databases, networking, Internet recruiting resources, media advertisements, job fairs, recruiting firms, or employee referrals.",0.9758
19-3022.00,"Prepare and present summaries and analyses of survey data, including tables, graphs, and fact sheets that describe survey techniques and results.",0.9757
11-9081.00,"Show, rent, or assign accommodations.",0.9756
15-1199.01,"Document software defects, using a bug tracking system, and report defects to software developers.",0.9753
19-2012.00,"Perform complex calculations as part of the analysis and evaluation of data, using computers.",0.9752
27-1013.00,"Use materials such as pens and ink, watercolors, charcoal, oil, or computer software to create artwork.",0.9751
13-1031.01,Prepare reports to be submitted to company's data processing department.,0.9751
15-1199.03,"Monitor systems for intrusions or denial of service attacks, and report security breaches to appropriate personnel.",0.9751
17-2071.00,Investigate customer or public complaints to determine the nature and extent of problems.,0.9748
41-9021.00,"Generate lists of properties for sale, their locations, descriptions, and available financing options, using computers.",0.9746
15-1199.08,"Collect business intelligence data from available industry reports, public information, field reports, or purchased sources.",0.974
15-1152.00,Analyze and report computer network security breaches or attempted breaches.,0.9736
15-1122.00,Monitor use of data files and regulate access to safeguard information in computer files.,0.9735
15-1151.00,"Read technical manuals, confer with users, or conduct computer diagnostics to investigate and resolve problems or to provide technical assistance and support.",0.9733
15-1199.12,Administer document and system access rights and revision control to ensure security of system and integrity of master documents.,0.9731
19-4099.03,Document methods used and write technical reports containing information collected.,0.9729
41-9031.00,"Document account activities, generate reports, and keep records of business transactions with customers and suppliers.",0.9726
43-9111.00,"Compile reports, charts, or graphs that describe and interpret findings of analyses.",0.9725
11-9199.03,Select specific investments or investment mixes for purchase by an investment fund.,0.9724
13-2051.00,"Monitor fundamental economic, industrial, and corporate developments by analyzing information from financial publications and services, investment banking firms, government agencies, trade publications, company sources, or personal interviews.",0.9723
15-1121.00,"Test, maintain, and monitor computer programs and systems, including coordinating the installation of computer programs and systems.",0.9722
27-3021.00,Analyze and interpret news and information received from various sources to broadcast the information.,0.9722
13-2021.02,"Search public records for transactions such as sales, leases, and assessments.",0.9722
43-9041.02,"Process, prepare, and submit business or government forms, such as submitting applications for coverage to insurance carriers.",0.9721
19-4099.03,Develop specialized computer software routines to customize and integrate image analysis.,0.972
41-9031.00,"Collaborate with sales teams to understand customer requirements, to promote the sale of company products, and to provide sales support.",0.972
41-9031.00,Research and identify potential customers for products or services.,0.972
19-1029.03,"Review, approve, or interpret genetic laboratory results.",0.972
13-2052.00,"Recommend financial products, such as stocks, bonds, mutual funds, or insurance.",0.971
17-2141.00,Solicit new business.,0.9709
27-1024.00,Use computer software to generate new images.,0.9707
